	105120_RL1500008701-1	105136_RL1500010701-1	105144_RL1500011801-1	105145_RL1500011901-1	105156_RL1500013601-1	105157_RL1500013701-1	105158_RL1500013801-1	105159_RL1500013901-1	105161_RL1500014301-1	105168_RL1500018301-1	106084_RL1500020501-1	106088_RL1500020701-1	118084_RL1500006801-2	118096_RL1500014601-2	118098_RL1500003901-2	118099_RL1500005401-2	118101_RL1500007801-2	118106_RL1500014701-2	118116_RL1500015501-2	118118_RL1500004501-2	150672_RL1500019901-1	150675_RL1500020401-1	150680_RL1500022201-1	150684_RL1500022701-1	150691_RL1500023401-1	150865_RL1500034502-1	150874_RL1500035402-1	150876_RL1500035602-1	150877_RL1500035702-1	150891_RL1500037302-1	150893_RL1500037502-1	150911_RL1500040802-1	153211_RL1500021501-2	153268_RL1500033801-2	153504_RL1500046101-1	153506_RL1500046301-1	153507_RL1500046401-1	153522_RL1500047901-1	153523_RL1500048001-1	153530_RL1500048701-1	153534_RL1500049101-1	153544_RL1500050301-1	153549_RL1500050801-1	153550_RL1500050901-1	153551_RL1500051001-1	153553_RL1500051401-1	159972_RL1500027802-2	159992_RL1500054202-2	160004_RL1500065902-2	160005_RL1500067702-2	160009_RL1500071502-2	160010_RL1500071702-2	160013_RL1500072202-2	160016_RL1500127902-2	160028_RL1500052201-2	160029_RL1500052301-2	160030_RL1500052401-2	160031_RL1500052501-2	160034_RL1500052801-2	160035_RL1500052901-2	160036_RL1500053001-2	160037_RL1500053101-2	160039_RL1500053301-2	160047_RL1500066201-2	160053_RL1500066901-2	160058_RL1500067601-2	160059_RL1500067801-2	160062_RL1500068101-2	160080_RL1500070101-2	160085_RL1500070601-2	163331_RL1500130401-2	163355_RL1500133401-2	163369_RL1500134901-2	165012_RL1500031402-1	165029_RL1500051301-1	165060_RL1500072302-1	168131_RL1500003502-2	168147_RL1500007002-2	168149_RL1500007402-2	168157_RL1500015102-2	168162_RL1500016402-2	168170_RL1500017602-2	168201_RL1500138501-2	172343_RL1500142401-2	172344_RL1500142501-2	172348_RL1500152301-2	172359_RL1500153701-2	172360_RL1500153801-2	175629_RL1500129601-2	175655_RL1500165001-2	176120_RL1400007301-1	176121_RL1400007501-1	176129_RL1500130601-1	176138_RL1500157901-1	176172_RL1500161601-1	176175_RL1500161901-1	176388_RL1500160001-1	188203_RL1400008701-1	188209_RL1500001201-1	188212_RL1500002801-1	188217_RL1500007701-1	188218_RL1500012401-1	191708_RL1400008601-2	191974_RL1500244001-1	27074_RL1000010-1	27075_RL10000011-1	5618_RL10000072-2	5631_RL10000088-2	7601_RL14000008-2	RL15003017	SLCC2479
F.RL15000503	602	578	48	1227	720	1309	1217	1270	631	588	1337	1424	602	1601	625	589	573	1488	587	1000	1310	714	1233	1334	389	499	747	498	508	751	1253	1503	1409	1766	1427	784	670	910	870	143	1410	0	1671	564	1435	707	904	1302	1214	863	920	940	766	633	1813	1796	249	247	920	733	507	735	246	1526	1555	1441	1592	1455	140	922	1239	757	1058	991	1578	665	727	1261	641	1379	788	233	683	1519	1525	1535	1442	1498	1457	1333	950	942	1233	1127	1270	764	1247	973	881	910	663	663	961	1471	389	375	928	921	421	1374	1678
F.RL15000508	1575	1438	774	1261	557	1515	1315	1428	402	1523	1586	1539	795	1805	1236	1456	1415	1635	1482	780	1472	1055	1330	1566	1170	1230	1388	1240	1244	1901	1538	1502	1515	2354	1452	1169	844	1715	630	1159	1026	1671	0	1341	752	1664	843	1698	1724	1818	978	1744	1713	645	2217	2194	1510	1506	1782	1781	1229	1802	1503	1966	2003	1808	1805	1819	1218	978	1329	1675	2589	365	2360	1842	936	1312	1772	1855	661	396	1632	959	980	1005	1283	1758	1422	1728	1378	1368	1276	1763	1328	1758	1754	1411	807	1707	1876	1864	1398	1597	1082	1024	1327	1304	1240	1627	52
F.RL15000509	548	528	517	1049	834	756	687	724	749	537	1148	1157	103	1097	178	527	508	1035	524	668	1146	121	1088	1155	800	767	841	753	762	558	942	1136	1151	1050	1008	642	124	594	1218	563	1261	564	1341	0	1030	607	956	1074	955	572	1069	673	780	107	1191	1183	558	556	569	589	914	590	558	901	903	833	986	842	586	1066	894	603	910	1313	974	594	158	1121	578	1017	862	159	548	1228	1232	1236	915	1082	1113	918	944	940	878	1020	992	675	969	964	939	794	594	596	951	909	699	677	938	925	747	1173	1348
F.RL15000510	1410	1308	611	1226	709	1400	1255	1325	616	1365	1433	1383	783	1629	1233	1327	1297	1492	1358	770	1340	1036	1223	1408	978	1019	1193	1031	1027	1685	1749	1369	1375	2099	1540	990	843	1387	1002	966	1398	1435	752	1030	0	1502	931	1383	1888	1592	333	1681	1552	646	2031	2005	1263	1257	1555	1566	1094	1581	1254	2108	2141	1614	1979	1625	1003	337	1319	1477	2064	1065	2138	1607	930	1241	1574	1629	788	393	1458	1331	1349	1373	1104	1607	1314	1541	1442	1440	1290	1513	1533	1565	1496	1461	901	1556	1632	1632	1458	1777	1088	1053	1415	1392	1186	1456	760
F.RL15000514	600	584	80	1048	687	1035	955	1007	606	590	1148	1254	453	1106	793	593	584	1036	602	1039	1132	546	1063	1144	489	515	735	520	524	743	806	1541	1238	1520	944	796	239	690	966	211	931	707	1664	607	1502	0	857	833	1412	828	973	710	1024	605	1554	1535	926	924	447	93	537	96	919	1455	1485	1152	1304	1157	99	974	1279	326	1311	995	1505	552	796	1089	630	935	755	225	537	1326	1331	1335	1450	1366	1482	1029	901	894	1277	1078	836	292	1065	920	842	866	649	641	911	1071	440	417	883	876	476	1193	1653
F.RL15000278	802	706	801	841	10	828	728	785	11	780	1005	993	73	879	148	732	694	830	740	877	955	74	858	988	946	884	964	873	873	893	666	1492	976	1333	594	913	128	875	706	841	751	904	843	956	931	857	0	1024	708	906	961	902	877	103	1067	1050	911	912	892	822	906	841	920	604	611	956	759	964	888	959	1006	921	1280	812	1138	872	105	900	851	926	4	144	751	711	713	718	1168	815	1451	995	1185	1178	995	1318	530	914	932	1201	3	887	876	876	1193	667	741	697	1147	1140	824	1022	849
F.RL15000542	1271	1202	612	942	804	1265	1170	1219	695	1232	1033	1155	627	1046	815	1206	1173	979	1231	1372	1017	723	939	1022	747	1068	971	1069	1078	1321	1272	1763	1148	1849	1020	1431	356	1260	770	820	834	1302	1698	1074	1383	833	1024	0	1696	1509	638	1332	1368	634	1618	1610	1549	1551	1092	839	969	859	1546	1941	1972	1463	1675	1466	737	639	1584	905	1427	913	1810	1283	926	968	1367	991	902	177	1190	1186	1190	1194	2013	1426	1727	1339	1303	1297	1573	1399	1089	668	1040	1324	1009	1194	1388	1381	1315	1458	953	908	1277	1252	1031	1044	1706
F.RL15000659	1268	1169	630	1616	575	1323	1197	1272	534	1252	1837	1786	810	1732	553	1196	1182	1616	1207	1484	1783	958	1679	1829	1008	729	795	737	741	1457	838	1847	1767	2076	1179	1507	848	1452	840	821	1372	1214	1724	955	1888	1412	708	1696	0	1171	1100	1362	1304	874	1735	1725	1211	1204	1432	1435	869	1449	1209	1078	1095	1437	966	1434	825	1098	1695	1348	1551	884	1679	1506	1011	1677	1362	1580	624	157	1377	1198	1203	1208	1993	1729	1790	1471	1005	1002	1682	1429	920	1386	1579	1022	692	1552	1413	1411	1022	967	649	613	983	972	676	1857	1731
F.RL15000677	793	739	57	1367	729	1363	1241	1313	638	778	1509	1422	721	1613	787	772	763	1513	769	1126	1469	883	1395	1511	485	571	844	573	584	835	1386	1584	1409	1813	1570	844	828	975	973	223	1554	863	1818	572	1592	828	906	1509	1171	0	998	901	1074	783	1696	1671	781	779	790	870	560	878	776	1526	1556	1489	1435	1494	186	998	1334	849	1419	1059	1361	811	898	1419	847	1557	798	221	822	1332	1335	1345	1583	1665	1539	1362	1014	1005	1324	1139	1452	957	1358	1035	885	1028	878	867	1024	1423	467	451	992	985	499	1558	1824
F.RL15000715	872	797	713	620	742	840	759	803	660	825	705	702	236	967	400	798	774	891	814	820	679	323	592	695	814	943	1001	947	952	972	1094	1254	703	1519	920	844	297	800	721	894	796	920	978	1069	333	973	961	638	1100	998	0	1064	815	190	1217	1188	907	909	1037	966	982	987	906	1161	1172	1026	1207	1017	970	30	1165	904	1146	900	1146	911	328	641	978	1037	825	160	858	804	800	811	1309	905	1199	970	1317	1315	1138	1419	970	891	776	1334	934	755	993	997	1330	1049	936	906	1296	1270	1026	704	985
F.RL15000717	867	852	175	1417	728	1333	1229	1297	631	868	1564	1557	750	1372	852	866	846	1259	871	1177	1525	891	1446	1563	567	564	812	562	572	761	1122	1677	1540	1658	1196	925	601	1065	827	308	1133	940	1744	673	1681	710	902	1332	1362	901	1064	0	1097	704	1505	1481	1062	1051	439	767	550	764	1052	1564	1592	1452	1170	1467	338	1055	1418	615	1543	1012	1553	959	878	1447	923	1333	798	234	890	1464	1472	1480	1619	1683	1656	1314	1009	1000	1403	1229	1175	731	1449	1029	882	1078	962	954	1017	1336	505	493	986	977	555	1615	1751
F.RL15000722	604	548	262	1088	677	1433	1331	1375	572	582	1147	1129	586	1664	317	567	555	1549	564	1344	1113	629	1087	1153	265	669	902	673	678	1108	1579	1876	1119	1944	1483	1243	900	1194	768	401	1369	766	1713	780	1552	1024	877	1368	1304	1074	815	1097	0	879	2028	2001	959	952	1170	1120	617	1117	952	1564	1585	1613	1788	1624	459	813	1548	1063	1263	902	1635	816	963	1080	653	1651	751	212	787	1442	1447	1455	1821	1352	1830	1497	1038	1030	1530	1242	1563	1094	1128	1059	859	530	663	661	1048	1815	564	550	1018	997	642	1187	1720
S.RL15001279	668	642	114	690	92	668	638	656	90	666	742	760	610	651	849	662	648	602	657	502	724	735	693	736	377	188	292	193	193	725	486	458	760	807	482	541	475	645	229	230	490	633	645	107	646	605	103	634	874	783	190	704	879	0	922	919	837	834	708	590	253	592	830	1006	1023	718	937	712	268	196	471	545	792	266	1097	731	869	691	710	485	104	247	680	669	679	686	626	793	458	675	283	283	471	378	468	558	765	287	98	688	734	725	286	809	238	228	272	270	238	749	652
F.RL15000522	1705	1615	923	1597	893	1777	1625	1730	838	1670	1816	1814	810	1475	1085	1630	1603	1359	1648	1774	1754	978	1685	1803	1322	1148	1274	1139	1143	1849	1519	2314	1811	2071	1557	1989	747	1852	1194	1211	1552	1813	2217	1191	2031	1554	1067	1618	1735	1696	1217	1505	2028	922	0	3	2055	2049	1581	1627	987	1643	2047	1789	1810	1944	906	1948	1112	1217	2069	1550	2014	1405	1979	1817	971	1663	1800	1147	976	331	1681	1840	1853	1872	2251	1935	2278	1830	1345	1338	2045	1621	1428	1615	1648	1365	1048	1930	1857	1852	1348	1475	983	938	1323	1308	1030	1833	2224
F.RL15000523	1681	1579	906	1595	876	1758	1608	1712	821	1645	1807	1803	808	1470	1081	1605	1574	1347	1612	1781	1744	979	1668	1794	1302	1135	1253	1125	1129	1826	1508	2281	1800	2050	1536	1965	735	1818	1169	1183	1529	1796	2194	1183	2005	1535	1050	1610	1725	1671	1188	1481	2001	919	3	0	2038	2032	1554	1600	959	1616	2030	1782	1804	1924	896	1931	1084	1188	2036	1523	1977	1377	1950	1795	964	1652	1776	1138	958	325	1654	1817	1830	1849	2257	1935	2245	1818	1325	1318	2012	1597	1418	1591	1637	1345	1031	1904	1834	1830	1328	1467	948	903	1303	1288	996	1824	2201
F.RL15000524	779	742	49	1412	725	1441	1318	1388	635	765	1563	1643	756	1785	795	762	748	1667	762	818	1524	929	1437	1562	369	520	769	518	529	912	1453	1296	1633	1855	1659	564	910	1044	862	120	1651	249	1510	558	1263	926	911	1549	1211	781	907	1062	959	837	2055	2038	0	2	1049	955	484	960	5	1708	1739	1594	1811	1607	155	907	1044	1004	1251	987	1831	878	724	1447	837	1620	793	208	871	1451	1475	1489	1271	1712	1269	1472	961	953	1037	1133	1507	997	1467	983	889	1085	878	875	971	1526	371	362	940	933	404	1614	1517
F.RL15000525	779	742	48	1415	726	1439	1316	1385	637	765	1563	1643	755	1783	786	762	748	1665	762	815	1525	926	1438	1562	370	511	767	509	520	912	1452	1295	1635	1846	1656	562	907	1041	866	118	1654	247	1506	556	1257	924	912	1551	1204	779	909	1051	952	834	2049	2032	2	0	1040	952	485	956	3	1704	1735	1591	1803	1604	155	909	1042	995	1252	990	1826	877	719	1450	837	1618	794	207	871	1454	1478	1492	1262	1710	1269	1471	958	950	1036	1132	1506	995	1469	980	890	1086	876	874	968	1524	370	361	937	930	403	1614	1513
F.RL15000528	758	752	44	1401	723	1269	1175	1226	631	761	1523	1524	757	1219	938	769	755	1126	775	1125	1483	884	1412	1520	531	501	876	499	509	614	927	1667	1508	1539	1169	943	425	867	957	240	1163	920	1782	569	1555	447	892	1092	1432	790	1037	439	1170	708	1581	1554	1049	1040	0	492	592	490	1040	1580	1610	1381	1324	1394	203	1034	1436	384	1522	1108	1555	856	883	1433	808	1135	788	257	844	1477	1483	1489	1535	1694	1637	1237	922	914	1423	1173	1048	517	1398	942	877	1107	832	825	930	1291	471	456	902	892	505	1575	1781
F.RL15000529	662	641	123	1079	664	1061	975	1030	590	656	1184	1312	481	1123	810	660	647	1049	665	1124	1170	574	1093	1178	498	523	732	525	532	763	836	1601	1299	1551	981	838	245	698	964	201	970	733	1781	589	1566	93	822	839	1435	870	966	767	1120	590	1627	1600	955	952	492	0	531	1	949	1524	1548	1189	1366	1188	133	966	1278	390	1348	1006	1582	596	838	1129	686	969	717	193	524	1330	1335	1339	1544	1361	1533	1083	938	930	1271	1070	876	301	1072	956	805	926	704	700	945	1092	450	431	918	912	482	1224	1770
F.RL15000530	497	484	382	834	729	896	795	876	629	496	919	993	196	1066	318	482	482	989	478	762	911	229	864	928	564	863	774	863	873	559	796	1329	984	1527	831	441	270	749	829	417	868	507	1229	914	1094	537	906	969	869	560	982	550	617	253	987	959	484	485	592	531	0	547	483	956	973	1034	1009	1043	483	984	999	569	1175	945	1267	450	232	893	535	869	798	144	479	957	960	968	1417	942	1305	1110	1248	1239	989	1394	816	562	907	1270	885	475	540	542	1256	784	567	541	1225	1209	604	958	1235
F.RL15000531	664	643	127	1091	683	1077	991	1045	607	658	1196	1324	481	1139	805	662	649	1065	667	1135	1182	574	1104	1190	503	520	749	522	529	769	851	1616	1311	1561	999	842	249	700	986	204	993	735	1802	590	1581	96	841	859	1449	878	987	764	1117	592	1643	1616	960	956	490	1	547	0	954	1534	1558	1205	1380	1204	138	987	1290	388	1365	1030	1584	597	836	1141	689	987	736	196	524	1356	1361	1365	1551	1379	1547	1103	947	939	1282	1083	895	303	1084	966	824	927	705	702	955	1114	457	438	928	917	489	1236	1791
F.RL15000533	777	741	47	1411	735	1436	1313	1383	644	764	1562	1642	753	1781	787	761	747	1663	761	816	1523	925	1436	1561	365	515	768	514	524	909	1452	1293	1632	1855	1656	559	904	1037	864	117	1651	246	1503	558	1254	919	920	1546	1209	776	906	1052	952	830	2047	2030	5	3	1040	949	483	954	0	1704	1736	1589	1803	1602	151	907	1040	994	1260	989	1827	875	719	1446	835	1617	803	205	868	1450	1474	1488	1263	1711	1267	1468	963	955	1033	1139	1506	999	1468	985	898	1082	876	873	973	1523	371	361	942	933	403	1613	1510
F.RL15000662	909	852	538	1411	478	1479	1391	1453	441	901	1586	1532	636	1813	804	859	854	1719	856	1756	1537	692	1486	1576	1118	632	876	637	641	1488	1050	2237	1519	2193	1390	1779	957	1580	835	857	1477	1526	1966	901	2108	1455	604	1941	1078	1526	1161	1564	1564	1006	1789	1782	1708	1704	1580	1524	956	1534	1704	0	10	1584	1112	1573	860	1161	2043	1535	1984	953	1644	1220	1146	1461	969	1646	523	385	1126	1602	1599	1614	2232	1405	2164	1635	974	975	2022	1492	1097	1571	1238	992	594	1339	1005	1010	984	1251	673	638	958	940	706	1595	1972
F.RL15000669	926	868	551	1424	484	1498	1406	1472	448	917	1603	1548	645	1835	811	876	870	1741	872	1783	1554	701	1503	1593	1138	634	883	639	643	1516	1065	2265	1536	2214	1415	1810	974	1603	855	875	1508	1555	2003	903	2141	1485	611	1972	1095	1556	1172	1592	1585	1023	1810	1804	1739	1735	1610	1548	973	1558	1736	10	0	1603	1122	1592	875	1172	2070	1566	2006	972	1657	1243	1151	1477	982	1667	530	389	1143	1635	1632	1647	2259	1423	2195	1658	979	980	2049	1501	1114	1600	1258	997	601	1359	1021	1026	989	1270	682	647	963	945	715	1612	2010
F.RL15000676	1234	1169	615	1442	799	21	21	26	760	1223	1650	1547	690	1472	925	1172	1171	1382	1184	1276	1587	861	1501	1626	1011	737	317	751	753	1500	1247	1629	1530	1445	1230	1265	658	644	1274	951	1413	1441	1808	833	1614	1152	956	1463	1437	1489	1026	1452	1613	718	1944	1924	1594	1591	1381	1189	1034	1205	1589	1584	1603	0	1551	0	813	1024	1624	1157	1644	1371	1562	1370	1077	1499	1313	1344	868	321	1256	1525	1530	1538	1582	1790	1578	34	1092	1090	1620	1056	1162	1255	1507	1106	939	1499	1362	1364	1104	1443	903	885	1069	1055	919	1668	1815
F.RL15000678	1419	1336	646	1641	619	1436	1307	1396	582	1408	1881	1879	818	1611	1096	1364	1348	1491	1365	1615	1813	983	1736	1864	1120	679	876	673	674	1595	743	2010	1864	1935	1039	1697	707	1613	895	951	1229	1592	1805	986	1979	1304	759	1675	966	1435	1207	1170	1788	937	906	896	1811	1803	1324	1366	1009	1380	1803	1112	1122	1551	0	1549	844	1204	1868	1261	2061	1009	1732	1545	940	1695	1516	1404	671	329	1413	1531	1543	1564	2057	1741	1968	1569	1130	1128	1852	1483	760	1331	1609	1148	743	1683	1591	1582	1147	696	708	673	1105	1092	740	1911	1812
F.RL15000681	1242	1185	632	1451	804	21	21	26	766	1239	1646	1545	689	1481	920	1188	1187	1390	1201	1300	1583	852	1503	1626	1021	740	313	754	756	1505	1236	1632	1528	1448	1225	1277	653	652	1280	957	1421	1455	1819	842	1625	1157	964	1466	1434	1494	1017	1467	1624	712	1948	1931	1607	1604	1394	1188	1043	1204	1602	1573	1592	0	1549	0	817	1014	1624	1169	1642	1369	1559	1378	1069	1497	1318	1337	874	315	1260	1536	1541	1549	1583	1782	1576	39	1099	1103	1620	1058	1156	1260	1512	1119	947	1505	1367	1370	1112	1441	892	871	1078	1063	906	1664	1825
F.RL15000701	155	151	51	661	718	701	627	669	626	150	722	804	86	956	267	152	153	889	148	547	716	99	675	725	436	541	727	542	550	155	723	988	799	1171	916	249	178	325	975	170	912	140	1218	586	1003	99	888	737	825	186	970	338	459	268	1112	1084	155	155	203	133	483	138	151	860	875	813	844	817	0	970	720	263	847	1001	793	84	266	695	156	900	781	187	118	892	895	901	991	907	930	724	904	897	716	1079	809	237	598	926	873	355	161	160	915	684	433	412	886	878	464	752	1224
F.RL15000706	873	797	714	619	741	844	763	807	657	825	703	699	241	971	404	798	774	894	814	816	677	328	590	693	814	953	1002	957	961	966	1095	1255	700	1516	922	844	303	801	718	896	791	922	978	1066	337	974	959	639	1098	998	30	1055	813	196	1217	1188	907	909	1034	966	984	987	907	1161	1172	1024	1204	1014	970	0	1168	903	1150	901	1145	911	336	639	976	1044	823	165	857	800	796	807	1309	905	1202	968	1317	1315	1146	1416	971	894	773	1334	932	756	992	996	1330	1050	943	913	1296	1270	1033	702	984
F.RL15001304	1376	1297	641	1529	865	1466	1330	1407	819	1356	1723	1802	712	1413	1079	1316	1305	1287	1329	770	1663	893	1578	1703	740	710	947	710	715	1463	1550	858	1787	1947	1518	766	730	1373	1025	698	1593	1239	1329	894	1319	1279	1006	1584	1695	1334	1165	1418	1548	471	2069	2036	1044	1042	1436	1278	999	1290	1040	2043	2070	1624	1868	1624	720	1168	0	1248	1563	1133	1957	1408	790	1561	1450	1424	918	139	1290	1459	1482	1495	1170	1916	824	1472	1192	1189	12	1293	1525	1257	1687	1209	987	1376	1499	1499	1212	1643	737	709	1160	1156	778	1758	1335
F.RL15001334	672	664	92	1307	751	1048	962	1015	654	672	1431	1401	677	1251	829	680	663	1151	684	1018	1389	814	1331	1431	539	567	803	572	575	658	939	1492	1389	1482	866	814	142	623	960	288	857	757	1675	603	1477	326	921	905	1348	849	904	615	1063	545	1550	1523	1004	995	384	390	569	388	994	1535	1566	1157	1261	1169	263	903	1248	0	1404	1088	1494	779	915	1330	726	893	810	201	763	1384	1390	1396	1484	1593	1434	1059	919	911	1234	1153	798	304	1307	938	905	980	752	744	927	1230	518	498	900	893	551	1478	1682
F.RL15001349	1313	1243	757	1566	1124	1518	1420	1462	1061	1261	1686	1725	642	1506	431	1244	1211	1409	1250	1541	1648	726	1566	1661	980	1086	860	1093	1099	1439	1726	1596	1723	1771	1852	1609	699	1546	1495	807	1992	1058	2589	910	2064	1311	1280	1427	1551	1419	1146	1543	1263	792	2014	1977	1251	1252	1522	1348	1175	1365	1260	1984	2006	1644	2061	1642	847	1150	1563	1404	0	1546	1661	1379	914	1618	1362	1454	1182	125	1343	2127	2131	2136	2061	1937	1587	1581	1183	1183	1562	1075	1764	1346	1542	1196	1264	1497	1385	1379	1204	2014	955	930	1167	1158	1001	1698	2595
S.RL15000314	898	807	786	518	536	1101	946	1048	390	850	683	760	148	1095	311	795	769	997	808	795	644	176	565	679	892	1096	1094	1101	1112	1059	739	1284	744	1794	771	1011	198	1290	298	885	384	991	365	1313	1065	995	812	913	884	1059	900	1012	902	266	1405	1377	987	990	1108	1006	945	1030	989	953	972	1371	1009	1369	1001	901	1133	1088	1546	0	1365	1002	188	556	1006	1156	641	121	867	432	439	444	1572	959	1242	1316	1370	1359	1100	1635	657	1055	863	1400	777	834	1049	1042	1386	772	812	765	1324	1300	959	703	371
F.RL15000513	1365	1288	524	1661	947	1432	1346	1390	910	1313	1850	1801	888	1829	1007	1294	1276	1735	1305	1818	1797	999	1722	1833	987	741	940	735	735	1560	1746	1715	1797	2029	1861	1802	1040	1440	1318	840	1964	1578	2360	974	2138	1505	1138	1810	1679	1361	1146	1553	1635	1097	1979	1950	1831	1826	1555	1582	1267	1584	1827	1644	1657	1562	1732	1559	793	1145	1957	1494	1661	1365	0	1452	1117	1729	1442	1830	1020	361	1356	1900	1910	1920	2114	1934	1679	1478	1102	1100	1949	1422	1780	1550	1610	1121	1124	1539	1474	1470	1117	1787	867	826	1085	1074	907	1849	2367
F.RL15000723	161	158	27	627	705	1246	1168	1215	616	158	690	822	44	1436	555	163	162	1351	156	1157	679	46	636	694	447	512	702	515	521	630	1229	1651	811	1749	1431	884	695	854	935	124	1434	665	1842	594	1607	552	872	1283	1506	811	911	959	816	731	1817	1795	878	877	856	596	450	597	875	1220	1243	1370	1545	1378	84	911	1408	779	1379	1002	1452	0	720	658	163	1420	769	188	77	1465	1469	1473	1604	874	1609	1269	911	903	1402	1042	1330	728	599	933	855	391	164	165	922	1432	435	412	894	880	464	721	1851
F.RL15000035	803	773	148	703	89	1000	943	967	88	788	746	827	616	831	1000	791	773	806	800	782	730	706	695	742	309	322	313	329	329	585	739	783	824	1057	856	731	796	1028	259	119	860	727	936	158	930	796	105	926	1011	898	328	878	963	869	971	964	724	719	883	838	232	836	719	1146	1151	1077	940	1069	266	336	790	915	914	188	1117	720	0	711	840	816	97	193	714	901	906	912	932	755	805	1040	301	302	796	429	788	896	774	306	102	713	851	860	304	756	194	182	294	285	197	766	923
F.RL15000070	734	687	615	10	690	1294	1197	1259	580	696	5	120	7	1267	578	680	669	1196	695	1352	8	6	7	7	739	942	905	951	956	1218	1441	1753	119	1873	1330	1429	657	1355	707	737	1148	1261	1312	1121	1241	1089	900	968	1677	1419	641	1447	1080	691	1663	1652	1447	1450	1433	1129	893	1141	1446	1461	1477	1499	1695	1497	695	639	1561	1330	1618	556	1729	658	711	0	798	1363	780	184	590	1178	1177	1189	1860	699	1672	1391	1191	1185	1548	1248	1332	1283	376	1211	880	690	801	804	1210	1604	904	861	1172	1143	986	7	1321
F.RL15000074	9	10	7	784	682	1214	1145	1190	602	10	845	861	195	1486	522	13	12	1398	10	1204	820	203	787	847	491	534	734	532	544	711	1282	1742	849	1681	1445	995	714	830	915	195	1432	641	1772	578	1574	630	851	1367	1362	847	978	923	653	710	1800	1776	837	837	808	686	535	689	835	969	982	1313	1516	1318	156	976	1450	726	1362	1006	1442	163	840	798	0	1433	747	215	212	1514	1519	1527	1545	967	1665	1216	890	883	1449	1065	1323	794	752	911	835	512	10	12	901	1432	463	441	870	861	493	881	1781
F.RL15000151	1354	1284	778	1314	802	1244	1160	1211	768	1339	1457	1486	597	957	838	1303	1282	879	1307	1411	1427	719	1345	1445	1035	993	914	995	1000	1275	1012	1821	1485	1917	857	1486	36	1367	1045	889	952	1379	1855	1017	1629	935	926	991	1580	1557	1037	1333	1651	485	1147	1138	1620	1618	1135	969	869	987	1617	1646	1667	1344	1404	1337	900	1044	1424	893	1454	1156	1830	1420	816	1363	1433	0	845	219	1345	1518	1523	1526	1834	1566	1776	1329	1317	1316	1418	1513	687	1019	1387	1330	913	1502	1458	1456	1323	1271	643	625	1297	1281	660	1465	1862
F.RL15000164	703	634	712	752	12	760	670	719	13	679	873	856	67	865	141	643	626	818	657	813	831	71	774	857	809	803	881	794	792	780	583	1357	840	1235	493	806	110	772	566	733	605	788	661	862	788	755	4	902	624	798	825	798	751	104	976	958	793	794	788	717	798	736	803	523	530	868	671	874	781	823	918	810	1182	641	1020	769	97	780	747	845	0	138	652	570	574	578	1085	716	1318	933	1080	1076	907	1222	451	811	808	1098	5	758	770	773	1089	586	657	611	1047	1040	725	881	666
F.RL15000176	203	197	133	184	108	268	246	259	117	203	180	244	157	243	251	204	202	239	193	240	186	176	183	186	178	243	189	250	249	234	164	125	248	343	216	180	230	237	149	128	224	233	396	159	393	225	144	177	157	221	160	234	212	247	331	325	208	207	257	193	144	196	205	385	389	321	329	315	187	165	139	201	125	121	361	188	193	184	215	219	138	0	182	184	185	190	371	260	130	299	227	226	144	264	211	191	215	230	136	169	215	219	230	169	120	116	222	215	119	188	400
F.RL15001385	212	202	90	564	601	1148	1092	1128	543	209	612	728	27	1367	559	211	209	1288	204	1138	603	29	567	613	460	472	670	476	481	643	1146	1582	719	1611	1352	867	667	804	859	165	1302	683	1632	548	1458	537	751	1190	1377	822	858	890	787	680	1681	1654	871	871	844	524	479	524	868	1126	1143	1256	1413	1260	118	857	1290	763	1343	867	1356	77	714	590	212	1345	652	182	0	1318	1322	1329	1452	795	1515	1152	871	864	1291	987	1237	712	530	890	736	414	210	215	879	1323	399	382	854	845	431	639	1641
S.RL15001424	1374	1242	689	1129	473	1282	1119	1207	362	1331	1334	1396	641	1543	915	1263	1230	1435	1289	1194	1281	795	1185	1320	814	1123	1130	1128	1133	1547	1163	1851	1374	2175	1080	1212	692	1394	323	938	665	1519	959	1228	1331	1326	711	1186	1198	1332	804	1464	1442	669	1840	1817	1451	1454	1477	1330	957	1356	1450	1602	1635	1525	1531	1536	892	800	1459	1384	2127	432	1900	1465	901	1178	1514	1518	570	184	1318	0	3	7	1933	1529	1786	1474	1359	1354	1441	1690	1044	1334	1306	1382	682	1256	1567	1555	1370	1244	870	813	1321	1300	983	1367	965
S.RL15001425	1379	1247	693	1128	477	1287	1124	1212	366	1336	1333	1396	646	1546	920	1268	1235	1438	1294	1217	1281	801	1185	1320	816	1129	1134	1132	1139	1553	1173	1867	1374	2173	1085	1235	701	1399	327	942	670	1525	980	1232	1349	1331	713	1190	1203	1335	800	1472	1447	679	1853	1830	1475	1478	1483	1335	960	1361	1474	1599	1632	1530	1543	1541	895	796	1482	1390	2131	439	1910	1469	906	1177	1519	1523	574	185	1322	3	0	4	1950	1533	1804	1479	1360	1354	1464	1678	1050	1339	1311	1383	685	1261	1572	1560	1370	1271	875	818	1319	1298	988	1367	987
