	105113_RL1500001701-1	105119_RL1500008401-1	105121_RL1500008801-1	105125_RL1500009401-1	105126_RL1500009501-1	105128_RL1500009701-1	105131_RL1500010001-1	105132_RL1500010101-1	105134_RL1500010501-1	105137_RL1500010901-1	105141_RL1500011501-1	105150_RL1500012601-1	105164_RL1500017901-1	106070_RL1500019201-1	106072_RL1500019401-1	106094_RL1500021001-1	118145_RL1500014901-2	150653_RL1500002901-1	150663_RL1500012001-1	150667_RL1500013201-1	150669_RL1500014101-1	150670_RL1500019301-1	150678_RL1500022001-1	150695_RL1500023801-1	150863_RL1500024501-1	150920_RL1500042302-1	150921_RL1500042602-1	150922_RL1500042802-1	150923_RL1500042902-1	150930_RL1500043602-1	153223_RL1500026701-2	153226_RL1500027001-2	153230_RL1500027401-2	153235_RL1500028101-2	153242_RL1500028801-2	153246_RL1500029201-2	153247_RL1500029301-2	153248_RL1500029401-2	153252_RL1500029801-2	153254_RL1500030001-2	153259_RL1500030501-2	153263_RL1500033201-2	153265_RL1500033401-2	153266_RL1500033501-2	153271_RL1500034101-2	153280_RL1500042402-2	153281_RL1500042502-2	153508_RL1500046501-1	153547_RL1500050601-1	159975_RL1500032302-2	159978_RL1500038702-2	160003_RL1500065702-2	160018_RL1500128202-2	160033_RL1500052701-2	160048_RL1500066301-2	160051_RL1500066601-2	160075_RL1500069501-2	160093_RL1500071601-2	163343_RL1500132301-2	163351_RL1500133201-2	163356_RL1500133501-2	165013_RL1500031502-1	168139_RL1500005702-2	168140_RL1500005902-2	172327_RL1500010601-2	172367_RL1500155301-2	172368_RL1500155401-2	172373_RL1500156101-2	175637_RL1500132101-2	175641_RL1500132701-2	176149_RL1500159301-1	176151_RL1500159501-1	176161_RL1500160501-1	176181_RL1500162901-1	176189_RL1500163801-1	176395_RL1500164201-1	176431_RL1500165301-1	177519_RL1500029101-2	177520_RL1500029901-2	177522_RL1500033001-2	177523_RL1500033701-2	177533_RL1500129001-2	177548_RL1500154501-2	177558_RL1500157601-2	177560_RL1500158001-2	177561_RL1500158201-2	177568_RL1500164001-2	188213_RL1500005201-1	188214_RL1500006701-1	188223_RL1500029001-1	188225_RL1500035901-1	189887_RL1500243201-2	191714_RL1500017101-2	227112_RL1500300103-2	227118_RL1500300803-2	CP006862	RL15003015	RL15003025	RL15003028
F.RL15000335	1140	1329	771	818	776	1560	843	1228	756	901	1258	1998	632	41	40	955	2803	921	1165	1829	2273	2147	1365	1281	2714	1322	1332	1340	1332	1511	950	890	929	1826	939	1350	1333	1341	2122	0	1342	1287	1350	0	2154	1354	1339	1264	3797	606	814	1358	977	303	2952	632	1221	1276	1039	1047	2989	1135	1832	2031	915	1866	1156	917	1036	1081	3633	1317	826	1241	1317	615	1393	1277	1324	1278	1449	2724	37	1149	828	1348	1317	1289	2519	1401	1337	1394	900	1864	1268	2414	854	860	1181
F.RL15000341	2429	2031	2192	2331	2253	1836	2390	1917	2199	2493	2086	1442	2104	1134	1106	2607	3295	2124	2832	2171	2252	4	2551	2383	2369	2891	2889	2910	2874	2563	2630	2440	2602	2158	2361	2953	2889	2888	2007	2202	2509	2806	2929	2154	0	2921	2893	2738	3693	2301	2563	2900	2577	1797	4536	1947	1437	2245	2649	2687	3493	1069	974	1	2561	2228	2219	2569	2634	2207	3445	2843	2323	2503	2847	1856	1167	2793	2905	2803	2243	2680	1124	574	2419	2939	2891	2358	2305	2188	2906	2615	2384	2225	2363	2433	2516	2480	2235
F.RL15000424	37	1361	655	688	642	1511	713	1260	650	750	1083	2381	918	40	37	772	2384	1318	574	1923	3055	2891	1243	1376	3331	2	2	3	2	846	770	744	758	1696	1407	32	31	32	1507	1375	1235	845	32	1354	2921	0	2	27	3318	1047	1096	51	1085	1296	2446	1495	1737	1302	965	966	2486	1556	2429	2740	756	1962	1088	753	964	1409	4019	26	1418	1061	36	1494	1488	31	31	847	1455	2810	34	1212	866	32	26	1554	2822	1421	29	497	1110	1974	1391	3284	875	873	1205
F.RL15000425	35	1346	642	674	629	1493	700	1248	636	735	1076	2357	902	38	35	757	2384	1297	566	1938	3035	2862	1251	1378	3300	0	0	1	0	836	755	729	743	1673	1390	29	28	29	1495	1359	1243	863	29	1339	2893	2	0	25	3311	1034	1082	49	1099	1281	2445	1475	1711	1289	952	953	2485	1565	2413	2713	741	1972	1077	738	951	1412	4025	24	1398	1048	34	1473	1480	28	28	864	1440	2801	32	1202	858	29	24	1551	2789	1406	27	491	1092	1992	1407	3273	867	866	1192
F.RL15000465	34	1306	625	655	612	1432	679	1210	618	715	1042	2238	866	36	34	736	2357	1234	549	1768	2791	2707	1182	1290	3046	25	25	26	25	803	735	710	724	1602	1339	28	27	28	1408	1285	1174	790	28	1264	2738	27	25	0	3233	975	1041	48	1006	1218	2418	1401	1588	1243	892	893	2459	1474	2286	2563	721	1814	1039	718	891	1322	3886	21	1338	1001	33	1395	1312	28	28	791	1393	2722	31	1076	826	29	23	1460	2543	1360	26	475	1013	1836	1306	2963	835	832	1146
F.RL15000506	3071	3958	3286	3410	3358	3186	3467	3806	3275	3515	3755	3850	3412	2808	2788	3587	52	3948	3552	3241	3747	3683	3864	3924	4041	3295	3302	3302	3293	3838	3607	3440	3593	3466	3967	3339	3313	3300	2510	3821	3857	3580	3325	3797	3693	3318	3311	3233	0	3670	3603	3327	3726	3879	919	4027	3173	4126	3597	3622	42	3223	3367	3567	3569	3376	3694	3581	3595	3948	2157	3282	3978	3769	3307	3943	2551	3250	3317	3572	4140	761	2801	2094	3697	3321	3309	4178	3585	3880	3309	3567	3769	3390	3950	3929	3711	3701	3895
S.RL15000323	889	1154	849	902	851	1652	917	1040	838	977	1035	1941	548	43	41	1028	2691	933	1016	1648	2330	2280	1200	1127	2849	1021	1029	1034	1025	1281	1020	970	1002	1887	1074	1043	1034	1035	2114	622	1167	980	1043	606	2301	1047	1034	975	3670	0	725	1055	824	469	2806	972	1396	1210	894	895	2843	1292	1972	2135	990	1705	1166	990	895	978	3774	1012	941	1025	1017	970	1441	990	1023	976	1230	2766	38	1189	680	1041	1027	1260	2510	1192	1031	1104	750	1731	1071	2600	684	719	1167
F.RL15000387	938	1181	743	778	745	1559	800	1099	735	856	1063	1984	677	67	66	891	2630	973	1070	1804	2548	2540	1300	1414	2925	1069	1075	1082	1078	1507	893	851	883	1776	1141	1095	1078	1083	1905	829	1278	1151	1091	814	2563	1096	1082	1041	3603	725	0	1105	961	820	2744	1209	1249	1331	823	820	2787	1576	2071	2393	873	1889	1031	869	825	1337	4085	1068	1142	1210	1078	1230	1471	1027	1074	1149	1277	2793	63	1222	913	1090	1074	1423	2775	1250	1086	1332	966	1877	1280	2657	932	946	1140
F.RL15000657	59	1380	671	704	660	1524	730	1279	665	763	1098	2398	922	60	58	782	2411	1353	594	1941	3061	2874	1282	1402	3319	49	49	50	49	847	781	759	772	1712	1411	52	52	53	1524	1378	1274	886	52	1358	2900	51	49	48	3327	1055	1105	0	1119	1336	2458	1528	1768	1311	960	961	2498	1586	2412	2716	767	1977	1098	766	959	1519	4033	47	1440	1126	57	1494	1516	50	53	888	1477	2844	55	1201	893	53	62	1555	2849	1439	50	515	1116	1989	1417	3316	903	894	1214
F.RL15001282	866	1408	687	739	695	1545	764	1291	688	825	1272	2072	1007	43	41	867	2722	1088	1124	954	2683	2558	1022	1265	2994	1078	1092	1093	1084	1609	863	808	846	1762	1328	1111	1092	1074	2041	984	1022	752	1099	977	2577	1085	1099	1006	3726	824	961	1119	0	919	2885	1262	1441	1694	354	364	2923	1441	2264	2430	830	949	1304	839	340	1123	3956	1049	1187	1244	1057	1229	1459	1043	1082	750	1564	2805	38	1188	1244	1094	1087	1358	2637	1513	1073	1343	852	930	948	2683	1277	1285	1330
F.RL15000527	1078	920	892	954	916	1736	973	905	877	1043	1023	1667	566	51	50	1096	2824	716	1239	1812	2125	1795	1035	905	2564	1274	1274	1297	1273	1247	1096	1028	1078	2015	840	1302	1276	1285	2176	316	1012	1209	1299	303	1797	1296	1281	1218	3879	469	820	1336	919	0	3008	249	975	924	1026	1047	3024	778	1542	1682	1051	1860	894	1062	1034	815	3145	1261	693	980	1296	157	1566	1214	1280	1210	1000	2858	47	1266	728	1298	1294	1038	2287	949	1284	1069	829	1848	882	2415	785	771	894
F.RL15000663	2390	3181	2574	2635	2604	3412	2669	3057	2544	2727	2971	4029	2655	1894	1893	2744	32	3116	2696	3679	4522	4511	3035	3115	4853	2439	2442	2444	2439	2971	2747	2703	2741	3681	3097	2455	2449	2439	3438	2954	3032	2702	2453	2952	4536	2446	2445	2418	919	2806	2744	2458	2885	3008	0	3178	3397	3246	2765	2783	11	3331	4050	4377	2728	3781	2849	2737	2777	3163	2054	2434	3117	2962	2444	3108	3282	2393	2449	2703	3280	1012	1888	3080	2820	2453	2448	3345	4450	3037	2452	2725	2913	3776	3092	4788	2814	2802	2990
F.RL15000666	1269	1074	1073	1129	1081	1890	1164	1072	1039	1244	1185	1807	789	41	40	1310	2939	893	1474	2136	2519	1937	1255	1126	2656	1472	1468	1491	1466	1344	1307	1243	1280	2219	1094	1484	1463	1466	2367	641	1233	1497	1485	632	1947	1495	1475	1401	4027	972	1209	1528	1262	249	3178	0	1024	960	1349	1376	3193	919	1790	1835	1257	2171	915	1262	1361	1082	3305	1452	907	1179	1482	200	1555	1391	1458	1494	1154	2843	37	1275	1124	1477	1489	1190	2476	1104	1490	1205	1113	2170	1090	2563	1170	1161	961
F.RL15000695	1447	1253	1164	1246	1170	1246	1253	1235	1152	1345	1217	1139	1106	338	316	1413	2932	863	1707	1516	1657	1437	1424	1648	1608	1713	1709	1726	1695	1776	1429	1350	1415	1479	1333	1764	1715	1709	1516	1247	1375	1674	1737	1221	1437	1737	1711	1588	3173	1396	1249	1768	1441	975	3397	1024	0	1439	1449	1497	3121	1014	1161	1327	1378	1472	1130	1377	1432	1393	3133	1669	1246	1505	1690	934	576	1626	1716	1668	1407	2193	312	392	1412	1750	1725	1398	1734	1351	1720	1698	1406	1473	1278	1761	1513	1481	1257
F.RL15000716	1157	865	1202	1254	1212	2017	1270	827	1175	1368	762	1853	1081	51	49	1432	3100	1228	1350	2530	2852	2216	1454	1361	2801	1292	1282	1299	1278	1300	1427	1368	1408	2331	1375	1303	1286	1287	2468	1302	1411	1675	1307	1276	2245	1302	1289	1243	4126	1210	1331	1311	1694	924	3246	960	1439	0	1567	1583	3289	1383	1918	2098	1385	2617	1036	1386	1571	1409	3719	1266	1307	1187	1285	953	1532	1239	1290	1673	896	2806	46	1260	1168	1300	1291	1527	2917	872	1300	1223	1488	2636	1453	3026	1186	1206	1179
F.RL15001323	785	1318	669	709	670	1498	732	1218	664	795	1186	2054	949	39	37	842	2617	1151	1014	1195	2710	2615	1253	1240	2889	936	944	957	944	1422	840	783	819	1719	1363	961	947	952	1900	1053	1254	885	963	1039	2649	965	952	892	3597	894	823	960	354	1026	2765	1349	1449	1567	0	9	2807	1560	2272	2464	806	1207	1226	809	11	1241	4036	936	1333	1156	928	1227	1395	899	945	886	1440	2786	34	1154	1104	958	927	1341	2639	1391	951	1186	843	1207	1154	2728	1144	1141	1236
F.RL15001332	786	1330	675	716	678	1518	740	1217	670	802	1191	2086	954	44	42	849	2630	1172	1013	1221	2783	2654	1277	1277	2967	937	945	958	945	1437	847	790	826	1737	1389	963	949	954	1921	1061	1278	897	965	1047	2687	966	953	893	3622	895	820	961	364	1047	2783	1376	1497	1583	9	0	2824	1590	2296	2504	813	1225	1239	816	4	1271	4077	937	1347	1171	929	1251	1464	901	947	898	1453	2820	39	1213	1105	960	928	1380	2732	1404	952	1202	845	1225	1180	2825	1146	1144	1250
F.RL15001335	2432	3215	2607	2668	2635	2585	2701	3100	2582	2754	3024	3242	2701	1946	1945	2771	10	3136	2730	2811	3201	3476	3056	3132	3523	2478	2482	2483	2479	3004	2774	2732	2768	2752	3134	2494	2489	2479	2498	2993	3053	2729	2492	2989	3493	2486	2485	2459	42	2843	2787	2498	2923	3024	11	3193	3121	3289	2807	2824	0	3268	3297	3390	2756	2910	2873	2765	2819	3190	1334	2474	3148	2966	2485	3139	1992	2436	2488	2736	3311	166	1939	1969	2850	2492	2473	3372	3072	3068	2491	2750	2949	2921	3124	3426	2842	2821	3002
S.RL15000315	1292	1111	1058	1110	1047	1046	1131	1076	1043	1240	1244	974	1314	76	76	1271	3020	1142	1612	1415	1328	1063	1227	1187	1443	1553	1564	1571	1546	1289	1268	1225	1256	1253	1179	1585	1563	1546	1487	1137	1221	1478	1577	1135	1069	1556	1565	1474	3223	1292	1576	1586	1441	778	3331	919	1014	1383	1560	1590	3268	0	1191	1019	1233	1463	1071	1241	1528	891	2008	1524	1160	1206	1526	814	180	1500	1553	1485	1253	1931	71	119	1209	1569	1563	1429	1398	1199	1558	1206	1430	1479	1223	1480	1245	1202	1012
F.RL15000057	2018	1897	1934	2049	1968	1685	2088	1793	1922	2180	1861	1507	1704	874	851	2269	3114	1783	2419	1883	1482	962	2154	2137	1657	2398	2400	2418	2399	2278	2291	2120	2274	1967	2042	2440	2408	2411	1608	1872	2143	2348	2436	1832	974	2429	2413	2286	3367	1972	2071	2412	2264	1542	4050	1790	1161	1918	2272	2296	3297	1191	0	907	2238	1958	1952	2247	2255	1929	3391	2371	1985	2061	2386	1756	582	2333	2415	2329	2085	2419	863	293	1998	2429	2393	2093	1704	2015	2410	2323	2055	1959	2019	1764	2050	2053	2095
F.RL15000059	2271	1912	2085	2217	2140	1762	2278	1801	2090	2375	1949	1363	1943	1077	1049	2488	3190	2009	2668	2038	2004	3	2419	2208	2106	2712	2708	2730	2695	2400	2511	2319	2485	2076	2234	2775	2708	2709	1857	2077	2382	2637	2751	2031	1	2740	2713	2563	3567	2135	2393	2716	2430	1682	4377	1835	1327	2098	2464	2504	3390	1019	907	0	2442	2085	2109	2451	2450	2076	3358	2665	2199	2345	2665	1745	1006	2615	2726	2633	2122	2603	1066	485	2254	2759	2707	2201	2049	2065	2726	2452	2215	2096	2235	2105	2358	2321	2126
F.RL15000106	658	1361	8	14	11	825	13	1232	11	5	1046	2080	970	16	14	13	2595	1045	165	1687	2724	2552	898	1133	2745	736	748	743	747	1291	12	5	18	914	1071	756	747	748	1718	927	899	647	750	915	2561	756	741	721	3569	990	873	767	830	1051	2728	1257	1378	1385	806	813	2756	1233	2238	2442	0	1754	1071	12	799	1073	3741	735	1044	983	742	1219	1437	706	737	647	1426	2765	45	1148	938	749	744	1174	2514	1407	751	1122	894	1735	1097	2556	946	937	1152
S.RL15001553	1576	2221	1481	1605	1534	1545	1632	2082	1465	1703	2090	2087	1791	981	950	1795	2709	1991	2007	78	2235	2217	1951	2092	2508	1953	1958	1961	1943	2441	1795	1632	1774	1805	2256	2008	1960	1942	1650	1896	1920	1687	1970	1866	2228	1962	1972	1814	3376	1705	1889	1977	949	1860	3781	2171	1472	2617	1207	1225	2910	1463	1958	2085	1754	0	2185	1762	1183	1967	4111	1893	2125	2084	1905	2084	992	1901	1955	1676	2467	2801	968	754	2129	1974	1924	2243	2180	2396	1938	2196	1762	11	1857	2210	2176	2201	2264
S.RL15001554	966	1007	938	975	930	1766	1002	969	928	1076	981	1802	916	54	53	1092	2706	850	1118	2150	2741	2201	1005	1154	2707	1081	1080	1095	1078	930	1091	1058	1089	2007	899	1107	1081	1080	2011	1164	1013	1138	1097	1156	2219	1088	1077	1039	3694	1166	1031	1098	1304	894	2849	915	1130	1036	1226	1239	2873	1071	1952	2109	1071	2185	0	1078	1227	976	3516	1061	907	846	1072	932	1471	1044	1083	1145	1065	2778	50	1198	929	1099	1082	1318	2624	1026	1093	1041	1313	2174	1116	2790	946	912	131
S.RL15001561	653	1389	12	10	7	825	7	1246	7	9	1063	2093	974	12	8	3	2603	1060	169	1704	2710	2562	910	1144	2747	733	747	742	744	1300	8	11	8	910	1092	754	745	746	1717	931	911	648	747	917	2569	753	738	718	3581	990	869	766	839	1062	2737	1262	1377	1386	809	816	2765	1241	2247	2451	12	1762	1078	0	802	1081	3743	733	1064	995	739	1229	1420	705	735	649	1458	2779	41	1136	942	749	743	1178	2510	1440	747	1129	892	1753	1111	2550	947	939	1162
F.RL15001321	786	1316	662	702	664	1489	725	1216	656	788	1183	2053	952	46	44	835	2625	1151	1001	1173	2679	2600	1227	1228	2839	935	943	956	943	1426	833	776	812	1705	1349	961	947	952	1870	1050	1228	861	963	1036	2634	964	951	891	3595	895	825	959	340	1034	2777	1361	1432	1571	11	4	2819	1528	2255	2450	799	1183	1227	802	0	1224	3993	935	1329	1158	927	1230	1375	899	945	863	1443	2768	41	1142	1097	958	926	1326	2614	1389	950	1191	839	1183	1130	2672	1136	1133	1234
F.RL15001327	1194	1290	900	950	897	1712	983	1233	898	1080	1375	1890	1243	42	40	1110	3026	1117	1352	1917	2704	2191	837	810	2786	1411	1410	1424	1403	1196	1106	1078	1094	1980	1127	1441	1417	1400	2235	1084	848	1117	1428	1081	2207	1409	1412	1322	3948	978	1337	1519	1123	815	3163	1082	1393	1409	1241	1271	3190	891	1929	2076	1073	1967	976	1081	1224	0	3383	1373	1082	748	1456	942	1406	1363	1412	1126	1413	2821	37	1180	1071	1426	1418	1156	2410	1354	1408	1072	1193	1964	961	2710	1169	1068	888
S.RL15001593	3639	3516	3419	3550	3466	3388	3593	3438	3413	3711	3635	3291	3674	2638	2625	3772	1144	3607	4085	4008	4226	3441	3712	3555	4329	4013	4023	4029	4002	3767	3787	3679	3763	3664	3651	4076	4029	3993	4065	3643	3678	3957	4037	3633	3445	4019	4025	3886	2157	3774	4085	4033	3956	3145	2054	3305	3133	3719	4036	4077	1334	2008	3391	3358	3741	4111	3516	3743	3993	3383	0	3970	3654	3652	3975	3210	3167	3936	4021	3955	3710	1001	2621	2928	3657	4062	4016	3903	4198	3453	4027	3695	3870	4119	3668	4353	3748	3684	3515
S.RL15001595	33	1331	637	670	625	1476	695	1233	632	730	1058	2321	889	35	33	751	2370	1270	563	1857	2927	2812	1209	1336	3193	24	24	25	24	831	749	724	738	1654	1374	27	26	27	1464	1338	1201	828	27	1317	2843	26	24	21	3282	1012	1068	47	1049	1261	2434	1452	1669	1266	936	937	2474	1524	2371	2665	735	1893	1061	733	935	1373	3970	0	1387	1032	32	1448	1395	27	27	830	1421	2783	30	1132	852	28	22	1509	2680	1385	25	483	1071	1915	1355	3131	860	857	1177
S.RL15001605	1201	1242	898	938	897	1702	968	1181	886	1056	1211	1977	932	32	30	1103	2958	877	1230	2069	2725	2309	1231	1333	2753	1400	1398	1417	1392	1330	1095	1036	1076	2002	429	1416	1392	1402	2279	828	1215	1365	1417	826	2323	1418	1398	1338	3978	941	1142	1440	1187	693	3117	907	1246	1307	1333	1347	3148	1160	1985	2199	1044	2125	907	1064	1329	1082	3654	1387	0	1099	1405	851	1403	1338	1398	1367	1343	2731	27	1161	1046	1412	1400	1349	2724	1298	1412	1287	1256	2115	1227	2734	1107	1063	929
S.RL15001629	901	1201	829	872	831	1658	890	1163	815	994	1249	2105	1019	41	39	1026	2811	1249	1072	2038	2905	2488	856	899	2895	1049	1045	1062	1038	1009	1019	977	1009	1926	1186	1069	1054	1055	2195	1250	845	1087	1066	1241	2503	1061	1048	1001	3769	1025	1210	1126	1244	980	2962	1179	1505	1187	1156	1171	2966	1206	2061	2345	983	2084	846	995	1158	748	3652	1032	1099	0	1085	1072	1481	1009	1050	1095	1271	2844	36	1164	976	1063	1068	1327	2687	1223	1058	900	1347	2105	908	2936	1022	979	820
S.RL15001638	44	1346	647	682	635	1489	703	1247	641	736	1082	2339	890	45	43	757	2400	1315	574	1867	2952	2821	1227	1343	3200	34	34	35	34	820	756	733	745	1665	1383	37	36	37	1498	1338	1218	848	37	1317	2847	36	34	33	3307	1017	1078	57	1057	1296	2444	1482	1690	1285	928	929	2485	1526	2386	2665	742	1905	1072	739	927	1456	3975	32	1405	1085	0	1448	1429	36	37	850	1441	2817	40	1149	868	38	47	1502	2724	1407	31	489	1066	1926	1359	3166	878	869	1179
S.RL15001642	1247	1021	1033	1088	1037	1824	1118	1023	1009	1212	1150	1705	850	40	39	1278	2921	870	1496	2033	2294	1847	1220	1090	2439	1470	1468	1490	1463	1239	1271	1200	1249	2151	1060	1496	1470	1478	2289	616	1196	1524	1497	615	1856	1494	1473	1395	3943	970	1230	1494	1229	157	3108	200	934	953	1227	1251	3139	814	1756	1745	1219	2084	932	1229	1230	942	3210	1448	851	1072	1448	0	1391	1407	1469	1524	1110	2731	36	1146	1063	1490	1465	1108	2301	1060	1482	1160	1064	2097	1056	2320	1106	1094	944
S.RL15001653	1114	1243	1085	1233	1205	1006	1280	1118	1139	1340	1202	1008	1164	1476	1404	1458	1916	1495	1426	1093	3	1172	1534	1393	102	1460	1463	1469	1462	1515	1509	1298	1482	1336	1449	1529	1457	1452	734	1447	1477	1488	1479	1393	1167	1488	1480	1312	2551	1441	1471	1516	1459	1566	3282	1555	576	1532	1395	1464	1992	180	582	1006	1437	992	1471	1420	1375	1406	3167	1395	1403	1481	1429	1391	0	1411	1483	1484	1464	2784	1423	868	1473	1512	1495	1474	95	1401	1477	1468	1422	981	1482	49	1552	1546	1600
F.RL15000291	38	1307	620	648	614	1451	670	1211	616	702	1050	2272	866	39	37	721	2371	1236	554	1863	2893	2762	1220	1330	3161	29	29	30	29	814	719	694	711	1618	1350	4	1	2	1460	1298	1212	813	2	1277	2793	31	28	28	3250	990	1027	50	1043	1214	2393	1391	1626	1239	899	901	2436	1500	2333	2615	706	1901	1044	705	899	1363	3936	27	1338	1009	36	1407	1411	0	2	812	1394	2757	34	1162	823	15	27	1486	2651	1362	30	479	1007	1921	1342	3097	835	835	1151
F.RL15000299	38	1354	641	674	631	1497	700	1247	637	732	1071	2367	898	39	37	753	2382	1292	567	1926	3020	2875	1254	1384	3307	29	29	30	29	853	751	726	740	1678	1388	4	1	0	1503	1345	1246	845	0	1324	2905	31	28	28	3317	1023	1074	53	1082	1280	2449	1458	1716	1290	945	947	2488	1553	2415	2726	737	1955	1083	735	945	1412	4021	27	1398	1050	37	1469	1483	2	0	847	1449	2807	34	1202	853	15	27	1547	2804	1415	30	506	1084	1975	1400	3269	862	862	1201
F.RL15000330	686	1540	549	581	553	1392	601	1402	534	642	1240	2208	1144	56	54	673	2573	1201	931	1639	2833	2777	790	1209	3079	843	858	858	851	1532	662	634	650	1582	1212	874	855	840	1851	1304	777	1	862	1278	2803	847	864	791	3572	976	1149	888	750	1210	2703	1494	1668	1673	886	898	2736	1485	2329	2633	647	1676	1145	649	863	1126	3955	830	1367	1095	850	1524	1484	812	847	0	1701	2799	51	1220	1250	859	849	1487	2816	1648	843	1317	1042	1680	929	2907	1248	1243	1265
F.RL15000337	1271	3	1255	1319	1272	2097	1355	56	1268	1431	231	1044	1140	14	12	1497	3130	1140	1474	2395	2838	2214	1425	1417	2356	1443	1438	1456	1435	1260	1484	1414	1473	2377	1289	1461	1441	1446	2434	1466	1407	1701	1461	1449	2243	1455	1440	1393	4140	1230	1277	1477	1564	1000	3280	1154	1407	896	1440	1453	3311	1253	2085	2122	1426	2467	1065	1458	1443	1413	3710	1421	1343	1271	1441	1110	1464	1394	1449	1701	0	2792	43	1223	1213	1460	1452	1563	2858	4	1453	1248	1453	2483	1373	3029	1265	1256	1045
S.RL15001290	2601	2670	2579	2658	2654	2410	2698	2611	2589	2721	2626	2410	2596	2758	2753	2798	135	2806	2765	2683	2818	2688	2828	2769	2815	2792	2803	2802	2801	2850	2816	2691	2801	2618	2763	2832	2797	2795	2518	2753	2813	2799	2809	2724	2680	2810	2801	2722	761	2766	2793	2844	2805	2858	1012	2843	2193	2806	2786	2820	166	1931	2419	2603	2765	2801	2778	2779	2768	2821	1001	2783	2731	2844	2817	2731	2784	2757	2807	2799	2792	0	2752	2719	2788	2819	2813	2834	2814	2549	2801	2819	2752	2783	2820	2827	2814	2791	2831
S.RL15001545	41	45	44	42	39	876	41	41	38	42	42	857	37	42	41	42	1894	34	41	957	1461	1115	41	49	1467	32	32	33	32	40	41	43	47	965	36	34	33	34	972	37	55	50	34	37	1124	34	32	31	2801	38	63	55	38	47	1888	37	312	46	34	39	1939	71	863	1066	45	968	50	41	41	37	2621	30	27	36	40	36	1423	34	34	51	43	2752	0	1161	46	35	30	43	1467	31	33	50	41	957	54	1491	49	48	49
S.RL15001576	917	1041	916	1015	993	832	1064	985	953	1073	1035	850	974	1197	1142	1159	1928	1214	1167	770	927	581	1219	1160	920	1186	1189	1190	1185	1202	1196	1035	1184	1041	1179	1226	1172	1179	57	1201	1208	1226	1194	1149	574	1212	1202	1076	2094	1189	1222	1201	1188	1266	3080	1275	392	1260	1154	1213	1969	119	293	485	1148	754	1198	1136	1142	1180	2928	1132	1161	1164	1149	1146	868	1162	1202	1220	1223	2719	1161	0	1169	1212	1139	1245	924	1176	1193	1207	1165	727	1204	994	1252	1199	1300
S.RL15001580	752	1134	798	854	803	1612	867	1043	795	938	1118	2096	575	51	49	970	2709	1044	850	2063	2629	2404	1419	1287	3006	851	860	858	855	1043	970	929	956	1862	1231	869	858	859	2056	849	1391	1253	860	828	2419	866	858	826	3697	680	913	893	1244	728	2820	1124	1412	1168	1104	1105	2850	1209	1998	2254	938	2129	929	942	1097	1071	3657	852	1046	976	868	1063	1473	823	853	1250	1213	2788	46	1169	0	868	855	1359	2791	1184	861	866	1074	2139	1403	2841	36	7	889
S.RL15001582	39	1364	651	684	639	1511	709	1258	646	746	1077	2396	915	40	38	765	2389	1311	575	1950	3065	2908	1261	1388	3352	30	30	31	30	854	763	738	754	1709	1402	15	14	15	1518	1369	1253	857	15	1348	2939	32	29	29	3321	1041	1090	53	1094	1298	2453	1477	1750	1300	958	960	2492	1569	2429	2759	749	1974	1099	749	958	1426	4062	28	1412	1063	38	1490	1512	15	15	859	1460	2819	35	1212	868	0	28	1559	2839	1426	31	503	1101	1985	1408	3316	877	876	1216
S.RL15001640	36	1359	650	683	638	1500	707	1247	645	740	1070	2361	902	35	33	759	2387	1317	571	1899	3032	2867	1262	1381	3299	24	24	25	24	845	758	733	749	1678	1402	27	26	27	1511	1338	1254	848	28	1317	2891	26	24	23	3309	1027	1074	62	1087	1294	2448	1489	1725	1291	927	928	2473	1563	2393	2707	744	1924	1082	743	926	1418	4016	22	1400	1068	47	1465	1495	27	27	849	1452	2813	30	1139	855	28	0	1548	2818	1417	25	499	1085	1947	1419	3278	877	860	1199
F.RL15000052	1322	1419	1029	1069	1019	1864	1102	1333	1011	1177	1334	2030	1263	47	46	1216	3152	1098	1438	2149	2861	2347	1391	1281	2906	1545	1549	1567	1534	1300	1210	1165	1193	2117	1230	1581	1545	1532	2471	1308	1393	1480	1574	1289	2358	1554	1551	1460	4178	1260	1423	1555	1358	1038	3345	1190	1398	1527	1341	1380	3372	1429	2093	2201	1174	2243	1318	1178	1326	1156	3903	1509	1349	1327	1502	1108	1474	1486	1547	1487	1563	2834	43	1245	1359	1559	1548	0	2825	1504	1546	1539	1322	2243	1307	2913	1419	1374	1437
F.RL15000067	2195	2488	1992	2187	2114	1906	2273	2321	2054	2417	2531	2072	2276	1521	1448	2581	2831	2644	2776	2232	1158	2295	2682	2371	1398	2778	2768	2798	2772	2816	2639	2367	2591	2437	2788	2865	2767	2773	1927	2602	2597	2820	2809	2519	2305	2822	2789	2543	3585	2510	2775	2849	2637	2287	4450	2476	1734	2917	2639	2732	3072	1398	1704	2049	2514	2180	2624	2510	2614	2410	4198	2680	2724	2687	2724	2301	95	2651	2804	2816	2858	2814	1467	924	2791	2839	2818	2825	0	2750	2798	2560	2457	2184	2620	1035	2908	2890	2773
